ablation,prompts_won_strict,prompts_won_fractional,win_rate_strict,win_rate_fractional,beats_baseline_count,beats_baseline_rate
AudioLDM2,14,14.0,0.4827586206896552,0.4827586206896552,21.0,0.7241379310344828
baseline,3,3.0,0.10344827586206896,0.10344827586206896,,
decide_model_gemini-2.5-flash,3,3.0,0.10344827586206896,0.10344827586206896,16.0,0.5517241379310345
tango2,3,3.0,0.10344827586206896,0.10344827586206896,13.0,0.4482758620689655
toggle_use_dsp_to_predict_align,2,2.0,0.06896551724137931,0.06896551724137931,16.0,0.5517241379310345
toggle_fill_coverage_by_llm,1,1.0,0.034482758620689655,0.034482758620689655,12.0,0.41379310344827586
toggle_use_avg_llm_and_dsp_to_predict_align,1,1.0,0.034482758620689655,0.034482758620689655,14.0,0.4827586206896552
toggle_use_dl_based_llm_and_dsp_alignment_predictor,1,1.0,0.034482758620689655,0.034482758620689655,17.0,0.5862068965517241
toggle_use_dsp,1,1.0,0.034482758620689655,0.034482758620689655,12.0,0.41379310344827586
toggle_use_llm_to_predict_align,0,0.0,0.0,0.0,9.0,0.3103448275862069
toggle_use_movie_bgms,0,0.0,0.0,0.0,15.0,0.5172413793103449
toggle_use_narrator,0,0.0,0.0,0.0,18.0,0.6206896551724138
